model,variant,cd_last,cl_last,cd_n_total,cd_mean_tail,cd_std_tail,cd_range_tail,cl_n_total,cl_mean_tail,cl_std_tail,cl_range_tail,u_rms_pressure,u_max_pressure,u_rms_suction,u_max_suction,u_rms_all,u_max_all
kw,baseline,0.1102681728405046,-1.279955687731895,1002,0.11028147909008261,1.2739206495590893e-05,4.347584423930462e-05,1002,-1.2802110826169266,0.00018079165461398658,0.0006150063192049693,0.09129923017198537,0.162803276472836,0.12288743132342309,0.7765821476025297,0.10825172101926646,0.7765821476025297
kw,ama_300,0.09077169407679961,-1.337002263011198,7887,0.09076311490719076,4.9998906219870635e-06,1.7186006048552915e-05,7887,-1.3369084386619035,5.563169164232787e-05,0.00019129684325003282,0.1032546591199672,0.19962601608591507,0.1862251658953158,1.9467511222728855,0.15056782033807642,1.9467511222728855
sa,baseline,0.1051508538938532,-1.268407063340244,800,0.10515514418362727,8.50722386891111e-06,3.1566645583389064e-05,800,-1.2682547806443958,0.00010214730528265466,0.00036099268555189745,0.08541469421082246,0.15721829707207985,0.12164114912295834,0.7644260716357082,0.10510052128101482,0.7644260716357082
sa,ama_300,0.09047384243940909,-1.32895482187451,6246,0.09047481953064374,6.641092519546319e-07,2.2757392914157792e-06,6246,-1.328877784818692,4.570604765386799e-05,0.00015716055722903022,0.1001905460784477,0.21311551608591506,0.1828892384907293,1.9362837218068605,0.14745612750783946,1.9362837218068605
