model,quantity,file,n_total,last,mean_tail,std_tail,min_tail,max_tail,range_tail,abs_last_minus_mean
kw,Cd,kw\task2\cd_1_1_1_AUSM.out,1002,0.1102681728405046,0.11028147909008261,1.2739206495590893e-05,0.1102681728405046,0.1103116486847439,4.347584423930462e-05,1.3306249578015628e-05
kw,Cl,kw\task2\cl_1_1_1_AUSM.out,1002,-1.279955687731895,-1.2802110826169266,0.00018079165461398658,-1.2805706940511,-1.279955687731895,0.0006150063192049693,0.00025539488503167895
kw,Cp,kw\task2\kw_1_1_1_AUSM.txt,150,,-0.264774536,0.7840962153724874,-2.02276,0.95368,2.9764399999999998,
sa,Cd,sa\task2\cd_1_2_AUSM.out,800,0.1051508538938532,0.10515514418362727,8.50722386891111e-06,0.1051489249291794,0.1051804915747628,3.1566645583389064e-05,4.2902897740698664e-06
sa,Cl,sa\task2\cl_1_2_AUSM.out,800,-1.268407063340244,-1.2682547806443958,0.00010214730528265466,-1.268407063340244,-1.268046070654692,0.00036099268555189745,0.00015228269584821597
sa,Cp,sa\task2\sa_1_2_AUSM.txt,150,,-0.26161312133333336,0.7792364840078415,-2.01626,0.956124,2.972384,
