branch,x,cp_min,cp_max,u_model
pressure,0.0023917854160401004,0.6243680746978361,0.9047135369990547,0.1401727311506093
pressure,0.0048763613320802,0.8309519892008033,0.957245118850369,0.06314656482478287
pressure,0.0073609372481203,0.8990490163181175,0.9552371870607965,0.028094085371339506
pressure,0.0098455131641604,0.952092448466992,0.9651080418302134,0.006507796681610667
pressure,0.012330089080200501,0.9289412044171178,0.9509417154019406,0.011000255492411404
pressure,0.0148146649962406,0.9057899603672436,0.9367753889736677,0.015492714303212085
pressure,0.017299240912280703,0.8826387163173692,0.922609062545395,0.019985173114012877
pressure,0.019783816828320804,0.859487472267495,0.9084427361171222,0.024477631924813614
pressure,0.022268392744360904,0.8363362282176208,0.8942764096888494,0.028970090735614296
pressure,0.024752968660401005,0.8139698649502476,0.8788980145771744,0.03246407481346342
pressure,0.027237544576441106,0.7958760939488199,0.8572267993884435,0.03067535271981181
pressure,0.029722120492481203,0.7777548406821839,0.8355555841997127,0.028900371758764365
pressure,0.0322066964085213,0.759633587415548,0.8138843690109818,0.02712539079771692
pressure,0.0346912723245614,0.741512334148912,0.792213153822251,0.025350409836669474
pressure,0.0371758482406015,0.7233910808822761,0.77054193863352,0.023575428875621973
pressure,0.0396604241566416,0.7052698276156402,0.7488707234447892,0.021800447914574528
pressure,0.0421450000726817,0.6928214975410272,0.7336273573308474,0.020402929894910105
pressure,0.044629575988721804,0.6838580687632737,0.7223326467545391,0.019237288995632706
pressure,0.047114151904761904,0.6748946399855204,0.7110379361782309,0.018071648096355253
pressure,0.049598727820802005,0.665931211207767,0.6997432256019225,0.016906007197077744
pressure,0.052083303736842106,0.6569677824300135,0.6884485150256142,0.015740366297800346
pressure,0.054567879652882206,0.6480043536522602,0.677153804449306,0.014574725398522892
pressure,0.05705245556892231,0.6390583438264638,0.6659010288490592,0.01342134251129773
pressure,0.0595370314849624,0.6312952485840979,0.6574960419597329,0.013100396687817484
pressure,0.0620216074010025,0.6235321533417322,0.6490910550704065,0.012779450864337183
pressure,0.06450618331704261,0.6157690580993663,0.6406860681810802,0.012458505040856938
pressure,0.06699075923308272,0.6080059628570005,0.6322810812917539,0.012137559217376692
pressure,0.06947533514912281,0.6002428676146347,0.6238760944024275,0.011816613393896391
pressure,0.07195991106516292,0.5924797723722689,0.6154711075131012,0.011495667570416146
pressure,0.07444448698120301,0.5848537843643979,0.6073419404406717,0.011244078038136873
pressure,0.07692906289724312,0.5774135872608815,0.5995865305474966,0.011086471643307505
pressure,0.07941363881328321,0.5698911637360612,0.5918311206543215,0.01096997845913017
pressure,0.08189821472932331,0.5623337412260656,0.5840757107611464,0.010870984767540393
pressure,0.08438279064536341,0.55477631871607,0.5763203008679714,0.010771991075950671
pressure,0.08686736656140351,0.5472188962060744,0.5685648909747962,0.010672997384360894
