(title "Pressure Coefficient")
(labels "Position" "Pressure Coefficient")

((xy/key/label "crvs")
0.00293877	-1.54152
0.00371507	-1.7923
0.00526768	-1.46646
0.00874509	-1.60916
0.0172303	-1.96164
0.032753	-2.04565
0.0488659	-1.82338
0.0650716	-1.68798
0.0814434	-1.73837
0.0980617	-1.80588
0.114836	-1.80416
0.131689	-1.81606
0.148638	-1.8868
0.165676	-1.97029
0.182754	-1.97404
0.199809	-1.88316
0.216818	-1.73819
0.233811	-1.59401
0.250773	-1.49812
0.267695	-1.4058
0.2846	-1.32516
0.301459	-1.24999
0.318315	-1.17913
0.335132	-1.11816
0.35195	-1.05873
0.36875	-1.00987
0.385546	-0.963332
0.402342	-0.931761
0.419103	-0.902246
0.435859	-0.865886
0.452616	-0.844679
0.469319	-0.822561
0.48602	-0.794975
0.502681	-0.769591
0.51933	-0.741704
0.535951	-0.716551
0.552548	-0.689635
0.569129	-0.664955
0.585676	-0.639293
0.602217	-0.61697
0.618697	-0.593027
0.635177	-0.562514
0.651657	-0.539275
0.668107	-0.522194
0.684499	-0.499529
0.70089	-0.471976
0.717282	-0.452481
0.733616	-0.435228
0.749911	-0.411546
0.766207	-0.386772
0.782502	-0.370427
0.00293877	-1.54152
0.00246644	-1.06909
0.0019941	-0.979087
0.00152177	-1.03756
0.00104943	-0.921909
0.000761791	-0.558147
0.000571343	-0.3234
0.000380895	-0.216562
0.000190448	-0.181066
0	-0.0451447
-2.31976e-05	0.145049
-4.63953e-05	0.225939
-6.95929e-05	0.266361
-9.27906e-05	0.324354
1.06593e-07	0.4542
0.000247306	0.565645
0.000494505	0.617557
0.000741705	0.644082
0.000988904	0.704757
0.0014395	0.777834
0.0023407	0.858391
0.00418605	0.93646
0.00978396	0.95453
0.0243517	0.82065
0.0406059	0.699161
0.0570164	0.640799
0.0733895	0.588215
0.0898791	0.538058
0.106393	0.498349
0.122962	0.458961
0.139594	0.432782
0.156229	0.41189
0.172906	0.39419
0.189583	0.384978
0.206261	0.37408
0.222938	0.361996
0.239615	0.347114
0.256306	0.330338
0.273016	0.31985
0.289727	0.314339
0.306438	0.307336
0.323148	0.29923
0.339859	0.287655
0.356584	0.277135
0.373314	0.271703
0.390044	0.264254
0.406785	0.25701
0.423529	0.253428
0.440273	0.245886
0.457032	0.239578
0.473794	0.239457
0.490557	0.238904
0.507319	0.235159
0.524088	0.228926
0.540867	0.228027
0.557647	0.231478
0.574427	0.232876
0.591207	0.23004
0.607997	0.229417
0.624788	0.234309
0.64158	0.235406
0.65838	0.238649
0.675181	0.247362
0.691982	0.253107
0.708788	0.260975
0.725596	0.274542
0.7424	0.287399
0.759203	0.300901
0.775999	0.315148
0.792783	0.325917
0.809556	0.338974
0.826287	0.345104
0.843018	0.352096
0.859667	0.359637
0.876265	0.354906
0.89281	0.348533
0.909295	0.341477
0.925694	0.328859
0.942047	0.314237
0.958301	0.295953
0.974509	0.265246
0.990617	-0.0682204
0.991253	-0.0819882
0.975349	-0.146922
0.959446	-0.168054
0.943517	-0.18443
0.927518	-0.200978
0.911518	-0.221208
0.895519	-0.240219
0.879473	-0.257468
0.863388	-0.275668
0.847272	-0.291579
0.83109	-0.307951
0.814899	-0.329543
0.798708	-0.353413
0.782502	-0.370427
)
