(title "Pressure Coefficient")
(labels "Position" "Pressure Coefficient")

((xy/key/label "crvs")
0.0814433	-1.7549
0.0980617	-1.82383
0.114836	-1.82165
0.131689	-1.83426
0.148638	-1.90835
0.165676	-1.99629
0.182754	-2.00161
0.199809	-1.90851
0.216818	-1.75837
0.233811	-1.61031
0.250773	-1.51441
0.267695	-1.42071
0.2846	-1.33904
0.301459	-1.2627
0.318315	-1.19033
0.335132	-1.12853
0.35195	-1.06797
0.36875	-1.01871
0.385546	-0.971975
0.402342	-0.940896
0.419103	-0.911702
0.435859	-0.875463
0.911518	-0.204934
0.895519	-0.223796
0.879473	-0.241985
0.863388	-0.261281
0.847272	-0.279078
0.83109	-0.297413
0.814899	-0.320143
0.798708	-0.345177
0.782502	-0.364594
0.766207	-0.38319
0.749911	-0.408969
0.733616	-0.434087
0.717282	-0.453291
0.70089	-0.47413
0.684499	-0.502382
0.668107	-0.52628
0.651657	-0.544583
0.635177	-0.568392
0.618697	-0.599463
0.602217	-0.624424
0.585676	-0.647546
0.569129	-0.673643
0.552548	-0.698784
0.535951	-0.726053
0.51933	-0.751514
0.502681	-0.779648
0.48602	-0.805138
0.469319	-0.832919
0.452616	-0.854863
0.435859	-0.875463
0.990617	-0.0328237
0.974509	0.234194
0.958301	0.269014
0.942047	0.295586
0.925694	0.315697
0.909295	0.332608
0.89281	0.34232
0.876265	0.351033
0.859667	0.358139
0.843018	0.351119
0.826287	0.34446
0.809556	0.338932
0.792783	0.325439
0.775999	0.314554
0.759203	0.29964
0.7424	0.285533
0.725596	0.272149
0.708788	0.257742
0.691982	0.249829
0.675181	0.244384
0.65838	0.235323
0.64158	0.232321
0.624788	0.231721
0.607997	0.226611
0.591207	0.227576
0.574427	0.231093
0.557647	0.229818
0.540867	0.226027
0.524088	0.226893
0.507319	0.233733
0.490557	0.237865
0.473794	0.238375
0.457032	0.238199
0.440273	0.244707
0.423529	0.252617
0.406785	0.256122
0.390044	0.263573
0.373314	0.271221
0.356584	0.276483
0.339859	0.287259
0.0406059	0.699525
0.0570164	0.641112
0.0733895	0.588337
0.0898791	0.538103
0.106393	0.49847
0.122962	0.458804
0.139594	0.432867
0.156229	0.412035
0.172906	0.394388
0.189583	0.385639
0.206261	0.37476
0.222938	0.36253
0.239615	0.347285
0.256306	0.330075
0.273016	0.319726
0.289727	0.314568
0.306438	0.307556
0.323148	0.299291
0.339859	0.287259
0.991253	-0.0563381
0.975349	-0.133495
0.959446	-0.153556
0.943517	-0.169529
0.927518	-0.18578
0.911518	-0.204934
0.0814433	-1.7549
0.0650716	-1.70305
0.0488659	-1.8418
0.032753	-2.06955
0.0172303	-1.98792
0.00874508	-1.63698
0.00526768	-1.49607
0.00371507	-1.81197
0.00293877	-1.55998
0.00246644	-1.09181
0.0019941	-1.00152
0.00152177	-1.05658
0.00104943	-0.936849
0.000761791	-0.571657
0.000571343	-0.337057
0.000380895	-0.230208
0.000190448	-0.193092
0	-0.0556348
-2.31976e-05	0.134622
-4.63953e-05	0.215348
-6.95929e-05	0.2561
-9.27905e-05	0.31529
1.06674e-07	0.446485
0.000247306	0.558531
0.000494506	0.610601
0.000741705	0.637163
0.000988904	0.698845
0.0014395	0.77314
0.0023407	0.854786
0.00418605	0.934373
0.00978396	0.954202
0.0243517	0.821204
0.0406059	0.699525
)
