model,quantity,file,n_total,last,mean_tail,std_tail,min_tail,max_tail,range_tail,abs_last_minus_mean
kw,Cl,kw\case3\cl_1_1_1_AUSM.out,3612,-1.473251324823781,-1.47303509083062,0.000130116096654521,-1.473251324823781,-1.472802625340912,0.0004486994828689639,0.0002162339931610635
kw,Cd,kw\case3\cd_1_1_1_AUSM.out,3612,0.214722372030946,0.21469912044299008,1.3920143044842826e-05,0.2146744725974899,0.214722372030946,4.789943345609449e-05,2.3251587955908093e-05
sa,Cl,sa\case3\cl_1_2_AUSM.out,2889,-1.611292378215269,-1.6110975404948633,0.00012567714599342336,-1.611292378215269,-1.610859370060544,0.0004330081547250231,0.00019483772040573832
sa,Cd,sa\case3\cd_1_2_AUSM.out,2889,0.2288741124364984,0.22886616409422403,5.3320803327172925e-06,0.2288556191293277,0.2288741124364984,1.8493307170713846e-05,7.948342274383124e-06
