0.0169492 -1.37126000
0.0254237 -1.34731000
0.0381356 -1.49102000
0.0677966 -1.77844000
0.1355930 -2.40120000
0.1822030 -2.54491000
0.2542370 -2.11377000
0.2923730 -1.94611000
0.3347460 -1.77844000
0.3813560 -1.65868000
0.4279660 -1.51497000
0.4915250 -1.32335000
0.5805080 -1.13174000
0.6737290 -0.89221600
0.7161020 -0.77245500
0.7627120 -0.65269500
0.8050850 -0.53293400
0.8516950 -0.41317400
0.8940680 -0.31736500
0.9449150 -0.22155700
0.9957630 -0.12574900
0.8940680 0.233533000
0.8305080 0.233533000
0.7584750 0.161677000
0.7161020 0.089820400
0.6737290 0.065868300
0.6271190 0.041916200
0.5593220 0.017964100
0.4957630 -0.02994010
0.4025420 -0.02994010
0.3135590 -0.02994010
0.2500000 -0.02994010
0.1779660 -0.02994010
0.1355930 -0.02994010
0.0677966 -0.00598802
0.0466102 -0.05389220
0.0338983 -0.05389220
0.0169492 0.257485000
0.0000000 0.736527000
