-0.000452872 -0.159645
0.00179057 0.8159650
0.01593310 0.8869180
0.01632010 -2.394680
0.02538800 0.7095340
0.02570280 -1.960090
0.03483660 0.5853660
0.03747960 -1.827050
0.04427580 0.5410200
0.06315320 0.4611970
0.06577940 -1.809310
0.08700900 -1.835920
0.08910280 0.4079820
0.11033600 0.3547670
0.11059900 -1.880270
0.12921000 0.3015520
0.13183100 -1.924610
0.17662100 -1.747230
0.17874100 0.2749450
0.24950200 0.2217290
0.25207500 -1.596450
0.29210500 -1.046560
0.31790200 0.1951220
0.33691100 -1.002220
0.37463800 -0.931264
0.40516900 0.1685140
0.41943700 -0.824834
0.49018100 -0.736142
0.49243400 0.1596450
0.55611200 0.1685140
0.58686700 -0.629712
0.62686400 0.1951220
0.67175900 -0.514412
0.67403200 0.2128600
0.71648000 0.2483370
0.71656400 -0.461197
0.75900700 -0.381375
0.76128800 0.2749450
0.81088400 -0.292683
0.82496200 0.3192900
0.85332800 -0.221729
0.89335300 0.3636360
0.90048700 -0.1330380
0.94293100 -0.0532151
0.99480200 0.07982260
